script,capabilities,cap_count
_packages/IFLS_Workbench_FULL.lua,"Chains/Presets/Wizard, FX Inventory/Param Catalog, MIDI Routing/Setup, MIDI SysEx, Patchbay/Routing Engine, Pedal Profiles/Controls, QA/Doctor/Validation, Slicing/Sampler, Synth Modules FB01, Synth Modules PSS580, Toolbar/Menu/Installer",11
Tools/IFLS_Workbench_Chain_Builder_Wizard.lua,"Chains/Presets/Wizard, MIDI CC/PC/Notes, MIDI Routing/Setup, Patchbay/Routing Engine, Pedal Profiles/Controls, Slicing/Sampler",6
Tools/IFLS_Workbench_Doctor_v2.lua,"Chains/Presets/Wizard, MIDI SysEx, Patchbay/Routing Engine, QA/Doctor/Validation, Synth Modules FB01, Synth Modules PSS580",6
Tools/IFLS_Workbench_Doctor.lua,"MIDI Routing/Setup, MIDI SysEx, Patchbay/Routing Engine, Pedal Profiles/Controls, QA/Doctor/Validation",5
Tools/IFLS_Workbench_Validate_Data_JSON.lua,"Chains/Presets/Wizard, MIDI Routing/Setup, Patchbay/Routing Engine, QA/Doctor/Validation, Synth Modules FB01",5
Tools/JSFX/IFLS_Workbench_Menu_JSFX_DSP_Tools.lua,"Chains/Presets/Wizard, MIDI Routing/Setup, Patchbay/Routing Engine, Pedal Profiles/Controls, Slicing/Sampler",5
Workbench/FB01/Pack_v2/Scripts/IFLS_FB01_Create_8Part_Rack_1824c.lua,"Chains/Presets/Wizard, MIDI CC/PC/Notes, MIDI Routing/Setup, MIDI SysEx, Synth Modules FB01",5
Workbench/FB01/Pack_v3/Scripts/IFLS_FB01_SysEx_Toolkit.lua,"MIDI CC/PC/Notes, MIDI Routing/Setup, MIDI SysEx, Synth Modules FB01, Synth Modules PSS580",5
Workbench/FB01/Pack_v5/Scripts/IFLS_FB01_SysEx_Toolkit.lua,"MIDI CC/PC/Notes, MIDI Routing/Setup, MIDI SysEx, Synth Modules FB01, Synth Modules PSS580",5
Workbench/FB01/Pack_v5/Scripts/IFLS_FB01_VoiceMacro_GUI.lua,"Chains/Presets/Wizard, MIDI Routing/Setup, MIDI SysEx, Pedal Profiles/Controls, Synth Modules FB01",5
Workbench/FB01/Pack_v7/Scripts/IFLS_FB01_VoiceMacro_GUI.lua,"Chains/Presets/Wizard, MIDI Routing/Setup, MIDI SysEx, Pedal Profiles/Controls, Synth Modules FB01",5
Workbench/ToolbarRepo/Scripts/IFLS_Workbench/IFLS_Workbench_PolyWAV_Toolbox.lua,"Chains/Presets/Wizard, MIDI Routing/Setup, QA/Doctor/Validation, Slicing/Sampler, Toolbar/Menu/Installer",5
Workbench/ToolbarRepo/Scripts/IFLS_Workbench/Tools/IFLS_Workbench_Slicing_Control_Panel_ReaImGui.lua,"Chains/Presets/Wizard, MIDI Routing/Setup, QA/Doctor/Validation, Slicing/Sampler, Toolbar/Menu/Installer",5
Workbench/ToolbarRepo/Scripts/IFLS_Workbench/Tools/JSFX/IFLS_Workbench_Menu_JSFX_DSP_Tools.lua,"Chains/Presets/Wizard, MIDI Routing/Setup, Pedal Profiles/Controls, Slicing/Sampler, Toolbar/Menu/Installer",5
IFLS_Workbench_Install_Toolbar.lua,"Chains/Presets/Wizard, Pedal Profiles/Controls, QA/Doctor/Validation, Toolbar/Menu/Installer",4
IFLS_Workbench_PolyWAV_Toolbox.lua,"Chains/Presets/Wizard, MIDI Routing/Setup, QA/Doctor/Validation, Slicing/Sampler",4
IFLS_Workbench_Toolbar_Generate_ReaperMenu.lua,"Chains/Presets/Wizard, Pedal Profiles/Controls, Slicing/Sampler, Toolbar/Menu/Installer",4
PSS580/IFLS_PSS580_Create_Tracks_Template.lua,"MIDI CC/PC/Notes, MIDI Routing/Setup, MIDI SysEx, Synth Modules PSS580",4
PSS580/IFLS_PSS580_ImportSYX_UpdateManifest.lua,"Chains/Presets/Wizard, MIDI CC/PC/Notes, MIDI SysEx, Synth Modules PSS580",4
PSS580/IFLS_PSS580_Lib.lua,"MIDI Routing/Setup, MIDI SysEx, Patchbay/Routing Engine, Synth Modules PSS580",4
Tools/Diagnostics/IFLS_Workbench_Cleanup_Duplicate_Workbench_Scripts.lua,"Chains/Presets/Wizard, Pedal Profiles/Controls, Slicing/Sampler, Toolbar/Menu/Installer",4
Tools/Diagnostics/IFLS_Workbench_Diagnostics.lua,"Chains/Presets/Wizard, Patchbay/Routing Engine, Slicing/Sampler, Toolbar/Menu/Installer",4
Tools/Diagnostics/IFLS_Workbench_InstallDoctor_Fix_Nested_Folders.lua,"Chains/Presets/Wizard, Pedal Profiles/Controls, QA/Doctor/Validation, Toolbar/Menu/Installer",4
Tools/IFLSWB_Generate_IFLSWB_Toolbar_ReaperMenu_v3.lua,"Chains/Presets/Wizard, Pedal Profiles/Controls, Slicing/Sampler, Toolbar/Menu/Installer",4
Tools/IFLS_Export_FX_ParamCatalog_NoMidiCC_Toggles_VST3Preferred.lua,"FX Inventory/Param Catalog, MIDI CC/PC/Notes, MIDI Routing/Setup, Patchbay/Routing Engine",4
Tools/IFLS_Workbench_Gear_And_Patchbay_View.lua,"Chains/Presets/Wizard, MIDI Routing/Setup, Patchbay/Routing Engine, Pedal Profiles/Controls",4
Tools/IFLS_Workbench_Slicing_Control_Panel_ReaImGui.lua,"Chains/Presets/Wizard, MIDI Routing/Setup, QA/Doctor/Validation, Slicing/Sampler",4
Tools/SamplePack/IFLSWB_AutoSplit_MixedContent.lua,"Chains/Presets/Wizard, MIDI Routing/Setup, Patchbay/Routing Engine, Slicing/Sampler",4
Workbench/FB01/Pack_v2/Scripts/IFLS_FB01_CC_MixPanel.lua,"MIDI CC/PC/Notes, MIDI Routing/Setup, Pedal Profiles/Controls, Synth Modules FB01",4
Workbench/FB01/Pack_v2/Scripts/IFLS_FB01_Send_SysEx_SWS.lua,"MIDI CC/PC/Notes, MIDI Routing/Setup, MIDI SysEx, Synth Modules FB01",4
Workbench/FB01/Pack_v7/Scripts/IFLS_FB01_Request_Dump.lua,"MIDI Routing/Setup, MIDI SysEx, Synth Modules FB01, Synth Modules PSS580",4
Workbench/ToolbarRepo/Scripts/IFLS_Workbench/IFLS_Workbench_Explode_Fieldrec.lua,"Chains/Presets/Wizard, MIDI Routing/Setup, Pedal Profiles/Controls, Toolbar/Menu/Installer",4
Workbench/ToolbarRepo/Scripts/IFLS_Workbench/IFLS_Workbench_Install_Toolbar.lua,"Chains/Presets/Wizard, Pedal Profiles/Controls, QA/Doctor/Validation, Toolbar/Menu/Installer",4
Workbench/ToolbarRepo/Scripts/IFLS_Workbench/IFLS_Workbench_Toolbar_Generate_ReaperMenu.lua,"Chains/Presets/Wizard, Pedal Profiles/Controls, Slicing/Sampler, Toolbar/Menu/Installer",4
Workbench/ToolbarRepo/Scripts/IFLS_Workbench/Slicing/IFLSWB_Fieldrec_SmartSlicer_Core.lua,"Chains/Presets/Wizard, MIDI Routing/Setup, Slicing/Sampler, Toolbar/Menu/Installer",4
Workbench/ToolbarRepo/Scripts/IFLS_Workbench/Tools/Diagnostics/IFLS_Workbench_Cleanup_Duplicate_Workbench_Scripts.lua,"Chains/Presets/Wizard, Pedal Profiles/Controls, Slicing/Sampler, Toolbar/Menu/Installer",4
Workbench/ToolbarRepo/Scripts/IFLS_Workbench/Tools/Diagnostics/IFLS_Workbench_Diagnostics.lua,"Chains/Presets/Wizard, Patchbay/Routing Engine, Slicing/Sampler, Toolbar/Menu/Installer",4
Workbench/ToolbarRepo/Scripts/IFLS_Workbench/Tools/Diagnostics/IFLS_Workbench_InstallDoctor_Fix_Nested_Folders.lua,"Chains/Presets/Wizard, Pedal Profiles/Controls, QA/Doctor/Validation, Toolbar/Menu/Installer",4
Workbench/ToolbarRepo/Scripts/IFLS_Workbench/Tools/IFLSWB_Generate_IFLSWB_Toolbar_ReaperMenu_v3.lua,"Chains/Presets/Wizard, Pedal Profiles/Controls, Slicing/Sampler, Toolbar/Menu/Installer",4
Workbench/ToolbarRepo/Scripts/IFLS_Workbench/Tools/IFLS_Export_FX_ParamCatalog_NoMidiCC_Toggles_VST3Preferred.lua,"FX Inventory/Param Catalog, MIDI CC/PC/Notes, MIDI Routing/Setup, Toolbar/Menu/Installer",4
Workbench/ToolbarRepo/Scripts/IFLS_Workbench/Tools/SamplePack/IFLSWB_AutoSplit_MixedContent.lua,"Chains/Presets/Wizard, MIDI Routing/Setup, Slicing/Sampler, Toolbar/Menu/Installer",4
Engine/IFLS_Patchbay_RoutingEngine.lua,"Chains/Presets/Wizard, MIDI Routing/Setup, Patchbay/Routing Engine",3
